file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00558_0090_388660_to_392090,འཕགས་པའི་བདེན་པ་བཞི་པོ་རྣམས། ཁྱོད་ལ་མེད་པར་ཐལ་བར་འགྱུར།  ,'phags pa'i bden pa bzhi po rnams/_khyod la med par thal bar 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0090_388660_to_392090.wav,STT_AB,2,57,3.43,wav16k/STT_AB00558_0090_388660_to_392090.wav,འཕགས་པའི་བདེན་པ་བཞི་པོ་རྣམས། ཆོས་ལ་མེད་པར་ཐལ་བར་འགྱུར།
STT_AB00558_0088_382329_to_383029,རྩ་ཤེ་ལས།  ,rtsa she las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0088_382329_to_383029.wav,STT_AB,2,11,0.7,wav16k/STT_AB00558_0088_382329_to_383029.wav,རྩ་ཤེ་ལས།
STT_AB00558_0093_400981_to_405213,གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི། རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན།  ,gal te dngos po thams cad kyi/_rang bzhin kun la yod min na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0093_400981_to_405213.wav,STT_AB,2,52,4.232,wav16k/STT_AB00558_0093_400981_to_405213.wav,གལ་ཏེ་དངོས་པོ་ཐམས་ཅད་ཀྱི། རང་བཞིན་ཀུན་ལ་ཡོད་མིན་ན།
STT_AB00559_0068_281271_to_282465,དེ་འགོག་ན་ ,de 'gog na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00559_0068_281271_to_282465.wav,STT_AB,2,11,1.194,wav16k/STT_AB00559_0068_281271_to_282465.wav,དེ་འགོག་ན་
STT_AB00559_0062_258387_to_259752,བུད་དྷ་པཱ་ལི་ཏ་ལས་ཀྱང་།  ,bud d+ha pA li ta las kyang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00559_0062_258387_to_259752.wav,STT_AB,2,25,1.365,wav16k/STT_AB00559_0062_258387_to_259752.wav,བུད་དྷ་པཱ་ལི་ཏ་ལས་ཀྱང་།
STT_AB00559_0064_263455_to_269257,རྟག་ཆད་དུ་ལྟ་བར་བཤད་པ་དེ་དག་ཉིད། གང་ཞིག་རང་བཞིན་གྱིས་ཡོད་པ། ཞེས་སོགས་ཀྱིས་ ,rtag chad du lta bar bshad pa de dag nyid/_gang zhig rang bzhin gyis yod pa/_zhes sogs kyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00559_0064_263455_to_269257.wav,STT_AB,2,75,5.802,wav16k/STT_AB00559_0064_263455_to_269257.wav,རྟག་ཆད་དུ་ལྟ་བར་བཤད་པ་དེ་དག་ཉིད་གང་ཞིག་རང་བཞིན་གྱིས་ཡོད་པ་ཞེས་སོགས་ཀྱི་
STT_AB00558_0125_535179_to_538933,རབ་བྱེད་ཉེར་ལྔས་གཙོ་ཆེར་རང་བཞིན་འགོག་པར་མཛད་དོ།  ,rab byed nyer lngas gtso cher rang bzhin 'gog par mdzad do/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0125_535179_to_538933.wav,STT_AB,2,49,3.754,wav16k/STT_AB00558_0125_535179_to_538933.wav,རབ་བྱེད་ཉེར་ལྔས་གཙོ་ཆེར་རང་བཞིན་འགོག་པར་མཛད་དོ།
STT_AB00641_0128_791595_to_794172,འཁོར་འདས་ཐ་དད་དུ་འཛིན་པའི་རྟོག་པ་དང་ ,'khor 'das tha dad du 'dzin pa'i rtog pa dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00641_0128_791595_to_794172.wav,STT_AB,2,37,2.577,wav16k/STT_AB00641_0128_791595_to_794172.wav,འཁོར་འདས་ཐ་དད་དུ་འཛིན་པའི་རྟོག་པ་དང་
STT_AB00641_0129_794308_to_798284,སོ་སོར་མ་བརྟགས་པའི་བཏང་སྙོམས་མི་མངའ་བ་དྲུག་ནི་དང་པོའོ།  ,so sor ma brtags pa'i btang snyoms mi mnga' ba drug ni dang po'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00641_0129_794308_to_798284.wav,STT_AB,2,56,3.976,wav16k/STT_AB00641_0129_794308_to_798284.wav,སོ་སོར་མ་བརྟག་པའི་བཏང་སྙོམས་མི་མངའ་བ་དྲུག་ནི་དང་པོའོ།
STT_AB00558_0272_1174087_to_1176032,དེ་ཕྱིར་ཞན་པས་ཆོས་འདི་ཡི།  ,de phyir zhan pas chos 'di yi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0272_1174087_to_1176032.wav,STT_AB,2,27,1.945,wav16k/STT_AB00558_0272_1174087_to_1176032.wav,དེ་ཕྱིར་ཞེན་པའས་ཆོས་འདི་ཡིས།
STT_AB00558_0113_485145_to_488267,གལ་ཏེ་འདི་དག་ཀུན་སྟོང་ན། ཞེས་སོགས་ཀྱི་ ,gal te 'di dag kun stong na/_zhes sogs kyi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0113_485145_to_488267.wav,STT_AB,2,39,3.122,wav16k/STT_AB00558_0113_485145_to_488267.wav,གལ་ཏེ་འདི་དག་ཀུན་སྟོང་ན། ཞེས་སོགས་ཀྱིས་
STT_AB00641_0138_853643_to_859291,རྣམ་པ་ཀུན་མཁྱེན་པ་ཉིད་ཀྱི་ཡེ་ཤེས་ནི། ཤེས་བྱ་ཐམས་ཅད་མངོན་སུམ་དུ་མཁྱེན་པའི་མཚན་ཉིད་ཅན་དུ་འདོད་དེ།  ,rnam pa kun mkhyen pa nyid kyi ye shes ni/_shes bya thams cad mngon sum du mkhyen pa'i mtshan nyid can du 'dod de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00641_0138_853643_to_859291.wav,STT_AB,2,97,5.648,wav16k/STT_AB00641_0138_853643_to_859291.wav,རྣམ་པ་ཀུན་མཁྱེན་པ་ཉིད་ཀྱི་ཡེ་ཤེས་ནི། ཤེས་བྱ་ཐམས་ཅད་མངོན་སུམ་དུ་མཁྱེན་པའི་མཚན་ཉིད་ཅན་དུ་འདོད་དེ།
STT_AB00558_0110_473933_to_475332,གང་དེ་ང་ལ་མི་འཐད་དོ།  ,gang de nga la mi 'thad do/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0110_473933_to_475332.wav,STT_AB,2,22,1.399,wav16k/STT_AB00558_0110_473933_to_475332.wav,གང་དེ་ང་ལ་མི་འཐད་དོ།
STT_AB00558_0111_476322_to_479837,གང་ལ་སྟོང་པ་ཉིད་རུང་བ། དེ་ལ་ཐམས་ཅད་རུང་བར་འགྱུར།  ,gang la stong pa nyid rung ba/_de la thams cad rung bar 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0111_476322_to_479837.wav,STT_AB,2,50,3.515,wav16k/STT_AB00558_0111_476322_to_479837.wav,གང་ལ་སྟོང་པ་ཉིད་རུང་བ། དེ་ལ་ཐམས་ཅད་རུང་བར་འགྱུར།
STT_AB00558_0106_461629_to_463472,དབུ་མ་པའི་ཁྱད་ཆོས་ཡིན་ཏེ།  ,dbu ma pa'i khyad chos yin te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00558_0106_461629_to_463472.wav,STT_AB,2,27,1.843,wav16k/STT_AB00558_0106_461629_to_463472.wav,དབུ་མ་པའི་ཁྱད་ཆོས་ཡིན་ཏེ།
